Reliability report for main.2019-05-22-18-02-19.glm
Number of customers = 25

1366 metrics based around 1-hour base (outage-hours)

Events for year starting at 2000-01-01 00:00:00
Annual Event #,Metric Interval Event #,Starting DateTime (YYYY-MM-DD hh:mm:ss),Ending DateTime (YYYY-MM-DD hh:mm:ss),Object type,Object Name,Inducing Object,"Protective" Device,Desired Fault type,Implemented Fault Type,Number customers affected,Secondary number of customers affected
50,50,2000-02-20 02:34:21,2000-02-20 02:34:22,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,25,0
51,51,2000-02-20 21:05:27,2000-02-20 21:05:28,underground_line,node744-728,RandEvent,SwingNode781,TLG,TLG,25,0
52,52,2000-02-21 06:40:01,2000-02-21 06:40:02,underground_line,node711-740,RandEvent,recloser_1,TLG,TLG,9,0
53,53,2000-02-21 11:30:16,2000-02-21 11:30:22,underground_line,node733-734,RandEvent,recloser_1,TLG,TLG,9,0
54,54,2000-02-22 10:17:38,2000-02-22 10:17:39,underground_line,node730-709,RandEvent,SwingNode781,TLG,TLG,25,0
55,55,2000-02-23 05:12:18,2000-02-23 05:12:19,underground_line,node711-740,RandEvent,recloser_1,TLG,TLG,9,0
56,56,2000-02-23 11:29:54,2000-02-23 11:30:00,underground_line,node711-741,RandEvent,recloser_1,TLG,TLG,9,0
57,57,2000-02-23 16:22:07,2000-02-23 16:22:08,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,25,0
58,58,2000-02-25 09:06:19,2000-02-25 09:06:20,underground_line,node702-713,RandEvent,SwingNode781,TLG,TLG,25,0
59,59,2000-02-25 22:35:08,2000-02-25 22:35:48,underground_line,node744-728,RandEvent,SwingNode781,TLG,TLG,25,0
60,60,2000-02-26 10:31:20,2000-02-26 10:31:25,underground_line,node711-741,RandEvent,recloser_1,TLG,TLG,9,0
61,61,2000-02-26 22:21:50,2000-02-26 22:21:54,underground_line,node707-724,RandEvent,SwingNode781,TLG,TLG,25,0
62,62,2000-02-27 23:01:36,2000-02-27 23:01:38,underground_line,node734-737,RandEvent,recloser_1,TLG,TLG,9,0
63,63,2000-02-29 09:57:30,2000-02-29 09:57:32,underground_line,node706-725,RandEvent,SwingNode781,TLG,TLG,25,0
64,64,2000-03-01 09:05:42,2000-03-01 09:05:43,underground_line,node781-701,RandEvent,SwingNode781,TLG,TLG,25,0
65,65,2000-03-02 23:32:53,2000-03-02 23:32:54,underground_line,node705-712,RandEvent,SwingNode781,TLG,TLG,25,0
66,66,2000-03-04 17:11:35,2000-03-04 17:11:37,underground_line,node744-728,RandEvent,SwingNode781,TLG,TLG,25,0
67,67,2000-03-05 03:17:00,2000-03-05 03:17:12,underground_line,node744-728,RandEvent,SwingNode781,TLG,TLG,25,0
68,68,2000-03-05 10:49:16,2000-03-05 10:49:18,underground_line,node705-742,RandEvent,SwingNode781,TLG,TLG,25,0
69,69,2000-03-05 11:48:09,2000-03-05 11:48:10,underground_line,node727-744,RandEvent,SwingNode781,TLG,TLG,25,0
70,70,2000-03-07 08:00:01,2000-03-07 08:00:04,underground_line,node705-712,RandEvent,SwingNode781,TLG,TLG,25,0
71,71,2000-03-09 04:09:30,2000-03-09 04:09:31,underground_line,node737-738,RandEvent,recloser_1,TLG,TLG,9,0
72,72,2000-03-09 09:14:52,2000-03-09 09:14:53,underground_line,node711-741,RandEvent,recloser_1,TLG,TLG,9,0
73,73,2000-03-09 14:48:49,2000-03-09 14:48:54,underground_line,node727-744,RandEvent,SwingNode781,TLG,TLG,25,0
74,74,2000-03-11 13:53:52,2000-03-11 13:53:54,underground_line,node708-733,RandEvent,recloser_1,TLG,TLG,9,0
75,75,2000-03-12 06:12:44,2000-03-12 06:12:46,underground_line,node703-727,RandEvent,SwingNode781,TLG,TLG,25,0
76,76,2000-03-14 11:29:30,2000-03-14 11:29:36,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,25,0
77,77,2000-03-14 22:54:35,2000-03-14 22:54:36,underground_line,node710-735,RandEvent,recloser_1,TLG,TLG,9,0
78,78,2000-03-15 06:13:59,2000-03-15 06:14:00,underground_line,node701-702,RandEvent,SwingNode781,TLG,TLG,25,0
79,79,2000-03-18 12:33:44,2000-03-18 12:33:47,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
80,80,2000-03-20 21:06:57,2000-03-20 21:07:02,underground_line,node711-740,RandEvent,recloser_1,TLG,TLG,9,0
81,81,2000-03-22 00:59:02,2000-03-22 00:59:03,underground_line,node727-744,RandEvent,SwingNode781,TLG,TLG,25,0
82,82,2000-03-24 01:03:44,2000-03-24 01:03:45,underground_line,node733-734,RandEvent,recloser_1,TLG,TLG,9,0
83,83,2000-03-24 12:27:36,2000-03-24 12:30:17,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
84,84,2000-03-24 22:31:10,2000-03-24 22:31:11,underground_line,node738-711,RandEvent,recloser_1,TLG,TLG,9,0
85,85,2000-03-25 19:38:37,2000-03-25 19:38:38,underground_line,node705-712,RandEvent,SwingNode781,TLG,TLG,25,0
86,86,2000-03-26 06:58:14,2000-03-26 06:58:15,underground_line,node781-701,RandEvent,SwingNode781,TLG,TLG,25,0
87,87,2000-03-29 00:41:40,2000-03-29 00:41:42,underground_line,node730-709,RandEvent,SwingNode781,TLG,TLG,25,0
88,88,2000-03-29 04:05:43,2000-03-29 04:05:48,underground_line,node707-722,RandEvent,SwingNode781,TLG,TLG,25,0
89,89,2000-03-29 05:58:08,2000-03-29 05:58:09,underground_line,node781-701,RandEvent,SwingNode781,TLG,TLG,25,0
90,90,2000-03-30 03:02:48,2000-03-30 03:02:49,underground_line,node704-720,RandEvent,SwingNode781,TLG,TLG,25,0
91,91,2000-03-30 10:00:18,2000-03-30 10:00:19,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,25,0
92,92,2000-03-31 23:37:00,2000-03-31 23:37:01,underground_line,node737-738,RandEvent,recloser_1,TLG,TLG,9,0
93,93,2000-04-01 08:08:35,2000-04-01 08:08:37,underground_line,node727-744,RandEvent,SwingNode781,TLG,TLG,25,0
94,94,2000-04-02 11:12:00,2000-04-02 11:12:01,underground_line,node733-734,RandEvent,recloser_1,TLG,TLG,9,0
95,95,2000-04-03 02:44:30,2000-04-03 02:44:31,underground_line,node708-732,RandEvent,recloser_1,TLG,TLG,9,0
96,96,2000-04-04 18:44:26,2000-04-04 18:44:27,underground_line,node714-718,RandEvent,SwingNode781,TLG,TLG,25,0
97,97,2000-04-04 20:36:08,2000-04-04 20:36:09,underground_line,node704-720,RandEvent,SwingNode781,TLG,TLG,25,0
98,98,2000-04-05 01:41:05,2000-04-05 01:41:06,underground_line,node730-709,RandEvent,SwingNode781,TLG,TLG,25,0
99,99,2000-04-06 11:35:02,2000-04-06 11:35:05,underground_line,node734-737,RandEvent,recloser_1,TLG,TLG,9,0
100,100,2000-04-07 14:29:30,2000-04-07 14:29:32,underground_line,node708-733,RandEvent,recloser_1,TLG,TLG,9,0
101,101,2000-04-09 10:40:10,2000-04-09 10:40:11,underground_line,node744-728,RandEvent,SwingNode781,TLG,TLG,25,0
102,102,2000-04-09 21:55:46,2000-04-09 21:55:52,underground_line,node703-727,RandEvent,SwingNode781,TLG,TLG,25,0
103,103,2000-04-11 01:13:33,2000-04-11 01:13:35,underground_line,node711-740,RandEvent,recloser_1,TLG,TLG,9,0
104,104,2000-04-11 08:12:52,2000-04-11 08:12:56,underground_line,node733-734,RandEvent,recloser_1,TLG,TLG,9,0
105,105,2000-04-16 22:28:19,2000-04-16 22:28:21,underground_line,node711-740,RandEvent,recloser_1,TLG,TLG,9,0
106,106,2000-04-17 07:22:02,2000-04-17 07:22:03,underground_line,node720-706,RandEvent,SwingNode781,TLG,TLG,25,0
107,107,2000-04-17 23:40:09,2000-04-17 23:40:53,underground_line,node710-736,RandEvent,recloser_1,TLG,TLG,9,0
108,108,2000-04-18 19:01:56,2000-04-18 19:01:58,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
109,109,2000-04-18 23:33:18,2000-04-18 23:33:19,underground_line,node737-738,RandEvent,recloser_1,TLG,TLG,9,0
110,110,2000-04-19 09:39:13,2000-04-19 09:39:14,underground_line,node734-737,RandEvent,recloser_1,TLG,TLG,9,0
111,111,2000-04-19 12:18:23,2000-04-19 12:18:25,underground_line,node702-705,RandEvent,SwingNode781,TLG,TLG,25,0
112,112,2000-04-19 12:38:57,2000-04-19 12:38:58,underground_line,node711-740,RandEvent,recloser_1,TLG,TLG,9,0
113,113,2000-04-20 04:05:56,2000-04-20 04:06:02,underground_line,node708-732,RandEvent,recloser_1,TLG,TLG,9,0
114,114,2000-04-20 15:44:22,2000-04-20 15:44:24,underground_line,node734-710,RandEvent,recloser_1,TLG,TLG,9,0
115,115,2000-04-21 12:24:26,2000-04-21 12:24:48,underground_line,node733-734,RandEvent,recloser_1,TLG,TLG,9,0
116,116,2000-04-23 01:49:36,2000-04-23 01:49:37,underground_line,node711-740,RandEvent,recloser_1,TLG,TLG,9,0
117,117,2000-04-23 09:08:02,2000-04-23 09:08:06,underground_line,node734-710,RandEvent,recloser_1,TLG,TLG,9,0
118,118,2000-04-25 13:04:29,2000-04-25 13:04:30,underground_line,node734-737,RandEvent,recloser_1,TLG,TLG,9,0
119,119,2000-04-28 14:53:45,2000-04-28 14:53:46,underground_line,node702-705,RandEvent,SwingNode781,TLG,TLG,25,0
120,120,2000-04-28 18:34:29,2000-04-28 18:34:33,underground_line,node702-705,RandEvent,SwingNode781,TLG,TLG,25,0
121,121,2000-04-28 18:41:13,2000-04-28 18:41:14,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,25,0
122,122,2000-04-29 12:07:11,2000-04-29 12:07:17,underground_line,node720-707,RandEvent,SwingNode781,TLG,TLG,25,0
123,123,2000-04-30 13:03:32,2000-04-30 13:03:36,underground_line,node708-733,RandEvent,recloser_1,TLG,TLG,9,0
124,124,2000-04-30 20:58:34,2000-04-30 20:58:36,underground_line,node707-724,RandEvent,SwingNode781,TLG,TLG,25,0
125,125,2000-05-01 01:02:52,2000-05-01 01:02:54,underground_line,node701-702,RandEvent,SwingNode781,TLG,TLG,25,0
126,126,2000-05-01 18:53:55,2000-05-01 18:54:07,underground_line,node704-714,RandEvent,SwingNode781,TLG,TLG,25,0
