Reliability report for main.2019-05-22-18-02-19.glm
Number of customers = 25

1366 metrics based around 1-hour base (outage-hours)

Events for year starting at 2000-01-01 00:00:00
Annual Event #,Metric Interval Event #,Starting DateTime (YYYY-MM-DD hh:mm:ss),Ending DateTime (YYYY-MM-DD hh:mm:ss),Object type,Object Name,Inducing Object,"Protective" Device,Desired Fault type,Implemented Fault Type,Number customers affected,Secondary number of customers affected
13,413,2001-01-06 10:27:49,2001-01-06 10:27:51,underground_line,node738-711,RandEvent,recloser_1,TLG,TLG,9,0
14,414,2001-01-07 10:57:47,2001-01-07 10:57:49,underground_line,node704-720,RandEvent,SwingNode781,TLG,TLG,25,0
15,415,2001-01-08 00:59:50,2001-01-08 00:59:51,underground_line,node701-702,RandEvent,SwingNode781,TLG,TLG,25,0
16,416,2001-01-09 01:13:33,2001-01-09 01:13:34,underground_line,node734-737,RandEvent,recloser_1,TLG,TLG,9,0
17,417,2001-01-10 05:06:16,2001-01-10 05:06:17,underground_line,node705-712,RandEvent,SwingNode781,TLG,TLG,25,0
18,418,2001-01-12 00:13:05,2001-01-12 00:13:20,underground_line,node708-732,RandEvent,recloser_1,TLG,TLG,9,0
19,419,2001-01-13 10:21:44,2001-01-13 10:21:45,underground_line,node707-722,RandEvent,SwingNode781,TLG,TLG,25,0
20,420,2001-01-14 03:33:03,2001-01-14 03:33:08,underground_line,node707-722,RandEvent,SwingNode781,TLG,TLG,25,0
21,421,2001-01-14 13:15:03,2001-01-14 13:15:05,underground_line,node730-709,RandEvent,SwingNode781,TLG,TLG,25,0
22,422,2001-01-15 10:26:45,2001-01-15 10:47:42,underground_line,node702-705,RandEvent,SwingNode781,TLG,TLG,25,0
23,423,2001-01-17 02:13:20,2001-01-17 02:13:23,underground_line,node738-711,RandEvent,recloser_1,TLG,TLG,9,0
24,424,2001-01-17 13:58:12,2001-01-17 13:58:13,underground_line,node744-728,RandEvent,SwingNode781,TLG,TLG,25,0
25,425,2001-01-19 12:10:31,2001-01-19 12:10:58,underground_line,node730-709,RandEvent,SwingNode781,TLG,TLG,25,0
26,426,2001-01-20 15:37:18,2001-01-20 15:41:00,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
27,427,2001-01-21 11:19:12,2001-01-21 11:19:13,underground_line,node703-727,RandEvent,SwingNode781,TLG,TLG,25,0
28,428,2001-01-22 06:30:47,2001-01-22 06:30:49,underground_line,node781-701,RandEvent,SwingNode781,TLG,TLG,25,0
29,429,2001-01-22 14:28:14,2001-01-22 14:28:15,underground_line,node703-730,RandEvent,SwingNode781,TLG,TLG,25,0
30,430,2001-01-22 15:57:34,2001-01-22 15:57:36,underground_line,node710-735,RandEvent,recloser_1,TLG,TLG,9,0
31,431,2001-01-23 13:57:48,2001-01-23 13:57:49,underground_line,node733-734,RandEvent,recloser_1,TLG,TLG,9,0
32,432,2001-01-24 03:32:27,2001-01-24 03:32:30,underground_line,node734-737,RandEvent,recloser_1,TLG,TLG,9,0
33,433,2001-01-24 12:12:44,2001-01-24 12:12:46,underground_line,node703-730,RandEvent,SwingNode781,TLG,TLG,25,0
34,434,2001-01-25 20:50:44,2001-01-25 20:50:45,underground_line,node705-712,RandEvent,SwingNode781,TLG,TLG,25,0
35,435,2001-01-26 04:23:54,2001-01-26 04:23:56,underground_line,node744-728,RandEvent,SwingNode781,TLG,TLG,25,0
36,436,2001-01-26 12:32:43,2001-01-26 12:32:44,underground_line,node710-735,RandEvent,recloser_1,TLG,TLG,9,0
37,437,2001-01-27 09:59:41,2001-01-27 09:59:46,underground_line,node707-724,RandEvent,SwingNode781,TLG,TLG,25,0
38,438,2001-01-28 16:21:04,2001-01-28 16:21:05,underground_line,node730-709,RandEvent,SwingNode781,TLG,TLG,25,0
39,439,2001-01-28 23:27:18,2001-01-28 23:27:28,underground_line,node701-702,RandEvent,SwingNode781,TLG,TLG,25,0
40,440,2001-01-31 07:35:54,2001-01-31 07:36:01,underground_line,node709-731,RandEvent,SwingNode781,TLG,TLG,25,0
