# file...... Inverter_solEngInverter.csv
# date...... Fri Feb 20 16:42:03 2015
# user...... dpinney
# host...... (null)
# target.... inverter 2024
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,power_A,power_B,power_C
2014-01-07 02:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-07 03:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-07 04:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-07 05:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-07 06:00:00 PST,+8.87013+0j,+0+0i,+0+0i
2014-01-07 07:00:00 PST,+2365.35+0j,+0+0i,+0+0i
2014-01-07 08:00:00 PST,+34708.5+0j,+0+0i,+0+0i
2014-01-07 09:00:00 PST,+125665+0j,+0+0i,+0+0i
2014-01-07 10:00:00 PST,+223681+0j,+0+0i,+0+0i
2014-01-07 11:00:00 PST,+277556+0j,+0+0i,+0+0i
2014-01-07 12:00:00 PST,+292559+0j,+0+0i,+0+0i
2014-01-07 13:00:00 PST,+297828+0j,+0+0i,+0+0i
2014-01-07 14:00:00 PST,+299800+0j,+0+0i,+0+0i
2014-01-07 15:00:00 PST,+252301+0j,+0+0i,+0+0i
2014-01-07 16:00:00 PST,+159603+0j,+0+0i,+0+0i
2014-01-07 17:00:00 PST,+112830+0j,+0+0i,+0+0i
2014-01-07 18:00:00 PST,+29497.6+0j,+0+0i,+0+0i
2014-01-07 19:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-07 20:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-07 21:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-07 22:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-07 23:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-08 00:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-08 01:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-08 02:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-08 03:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-08 04:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-08 05:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-08 06:00:00 PST,+11.0622+0j,+0+0i,+0+0i
2014-01-08 07:00:00 PST,+3611.92+0j,+0+0i,+0+0i
2014-01-08 08:00:00 PST,+52605.7+0j,+0+0i,+0+0i
2014-01-08 09:00:00 PST,+176663+0j,+0+0i,+0+0i
2014-01-08 10:00:00 PST,+246305+0j,+0+0i,+0+0i
2014-01-08 11:00:00 PST,+277592+0j,+0+0i,+0+0i
2014-01-08 12:00:00 PST,+292631+0j,+0+0i,+0+0i
2014-01-08 13:00:00 PST,+297857+0j,+0+0i,+0+0i
2014-01-08 14:00:00 PST,+302270+0j,+0+0i,+0+0i
2014-01-08 15:00:00 PST,+286470+0j,+0+0i,+0+0i
2014-01-08 16:00:00 PST,+237480+0j,+0+0i,+0+0i
2014-01-08 17:00:00 PST,+170200+0j,+0+0i,+0+0i
2014-01-08 18:00:00 PST,+43292+0j,+0+0i,+0+0i
2014-01-08 19:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-08 20:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-08 21:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-08 22:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-08 23:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-09 00:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-09 01:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-09 02:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-09 03:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-09 04:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-09 05:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-09 06:00:00 PST,+6.92377+0j,+0+0i,+0+0i
2014-01-09 07:00:00 PST,+1515.58+0j,+0+0i,+0+0i
2014-01-09 08:00:00 PST,+20185.3+0j,+0+0i,+0+0i
2014-01-09 09:00:00 PST,+59663.4+0j,+0+0i,+0+0i
2014-01-09 10:00:00 PST,+142469+0j,+0+0i,+0+0i
2014-01-09 11:00:00 PST,+170568+0j,+0+0i,+0+0i
2014-01-09 12:00:00 PST,+205587+0j,+0+0i,+0+0i
2014-01-09 13:00:00 PST,+105781+0j,+0+0i,+0+0i
2014-01-09 14:00:00 PST,+108477+0j,+0+0i,+0+0i
2014-01-09 15:00:00 PST,+194838+0j,+0+0i,+0+0i
2014-01-09 16:00:00 PST,+157222+0j,+0+0i,+0+0i
2014-01-09 17:00:00 PST,+100659+0j,+0+0i,+0+0i
2014-01-09 18:00:00 PST,+24635.2+0j,+0+0i,+0+0i
2014-01-09 19:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-09 20:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-09 21:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-09 22:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-09 23:00:00 PST,+0+0j,+0+0i,+0+0i
2014-01-10 00:00:00 PST,+0+0j,+0+0i,+0+0i
