# currDump.csv run at 2000-01-01 00:00:00 PST on 675 links,,,,,,,
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag,avg_real_curr
T62474196103,0.014559,-0.000711,0,0,0,0,0.004853
19560,0.071405,-0.002163,0,0,0,0,0.0238016666666667
T62474196213,0.028423,-0.000726,0,0,0,0,0.00947433333333333
19683,0.028423,-0.000726,0,0,0,0,0.00947433333333333
T62474196353,0.028423,-0.000726,0,0,0,0,0.00947433333333333
19682,0.014559,-0.000711,0,0,0,0,0.004853
T62474197215,0.014559,-0.000711,0,0,0,0,0.004853
19559,0.014559,-0.000711,0,0,0,0,0.004853
T62474197105,0.014559,-0.000711,0,0,0,0,0.004853
18572,0.014559,-0.000711,0,0,0,0,0.004853
T62463016634,0.014559,-0.000711,0,0,0,0,0.004853
19815,7.939143,13.88896,11.829046,-7.318126,-25.993458,17.869945,-2.075090
T62463018249,0,0,-0.007881,-0.012283,0,0,-0.002627
19816,0,0,0,0,-0.571372,1.002661,-0.190457333333333
F5815,0,0,0,0,-0.571372,1.002661,-0.190457333333333
19563,0,0,0,0,-0.571372,1.002661,-0.190457333333333
T62463019253,0,0,0,0,-0.312481,0.548235,-0.104160333333333
19237,0,0,0,0,-0.258892,0.454425,-0.0862973333333333
T62463021200,0,0,0,0,-0.258892,0.454425,-0.0862973333333333
19765,7.939143,13.88896,11.836927,-7.305843,-25.422085,16.867284,-1.882005
19748,7.939143,13.88896,11.836927,-7.305843,-24.516114,15.277864,-1.580015
T62463017045,0,0,-0.00788,-0.012282,0,0,-0.00262666666666667
19740,0.029108,-0.00143,0,0,0,0,0.00970266666666667
F7585,0.029108,-0.001429,0,0,0,0,0.00970266666666667
19714,0.029108,-0.001429,0,0,0,0,0.00970266666666667
T62463016077,0.014554,-0.000715,0,0,0,0,0.00485133333333333
18588,0.014554,-0.000715,0,0,0,0,0.00485133333333333
19507,0.014554,-0.000715,0,0,0,0,0.00485133333333333
T62463014050,0.014554,-0.000715,0,0,0,0,0.00485133333333333
19561,0.028413,-0.000733,0,0,0,0,0.009471
T62463016201,0.028413,-0.000733,0,0,0,0,0.009471
19731,7.881622,13.891122,11.844807,-7.293561,-24.516114,15.277864,-1.596562
58017,0.426512,-0.001322,0,0,0,0,0.142170666666667
F7586,0.426512,-0.001322,0,0,0,0,0.142170666666667
58021,0.426512,-0.001322,0,0,0,0,0.142170666666667
T62463078922,0.426512,-0.001322,0,0,0,0,0.142170666666667
19589,7.45511,13.892444,11.844807,-7.293561,-24.516114,15.277864,-1.73873233333333
T62463076899,0,0,-0.02174,-0.036336,0,0,-0.00724666666666667
19538,7.45511,13.892444,11.866546,-7.257225,-24.516114,15.277864,-1.731486
19582,0.028404,-0.00074,0,0,0,0,0.009468
F7587,0.028404,-0.00074,0,0,0,0,0.009468
19196,0.028404,-0.00074,0,0,0,0,0.009468
19519,0.028404,-0.00074,0,0,0,0,0.009468
T62463074775,0.028404,-0.00074,0,0,0,0,0.009468
19186,7.426706,13.893184,11.866546,-7.257225,-24.516114,15.277864,-1.740954
19501,7.426706,13.893184,11.866546,-7.257225,-24.516114,15.277864,-1.740954
19345,7.426706,13.893184,11.866546,-7.257225,-24.200371,14.722089,-1.635706
19344,0,0,0,0,-1.077156,1.899517,-0.359052
F7589,0,0,0,0,-1.077156,1.899517,-0.359052
19353,0,0,0,0,-1.077156,1.899517,-0.359052
T62463074165,0,0,0,0,-0.185277,0.32689,-0.061759
19512,0,0,0,0,-0.891878,1.572626,-0.297292666666667
T62463074161,0,0,0,0,-0.203323,0.358606,-0.0677743333333333
19511,0,0,0,0,-0.688555,1.21402,-0.229518333333333
19202,0,0,0,0,-0.374713,0.661145,-0.124904333333333
19705,0,0,0,0,-0.374713,0.661145,-0.124904333333333
19733,0,0,0,0,-0.374713,0.661145,-0.124904333333333
19793,0,0,0,0,-0.200197,0.353139,-0.0667323333333333
19573,0,0,0,0,-0.200197,0.353139,-0.0667323333333333
T62463079127,0,0,0,0,-0.200197,0.353139,-0.0667323333333333
19792,0,0,0,0,-0.174516,0.308005,-0.058172
T62463139950,0,0,0,0,-0.174516,0.308005,-0.058172
19198,0,0,0,0,-0.313842,0.552876,-0.104614
T62463075133,0,0,0,0,-0.313842,0.552876,-0.104614
19384,7.412161,13.893906,11.866546,-7.257225,-23.123216,12.822573,-1.281503
T62463072031,0,0,-0.007874,-0.01228,0,0,-0.00262466666666667
70924,7.412161,13.893906,11.874421,-7.244946,-23.123216,12.822573,-1.278878
70925,7.412161,13.893906,11.874421,-7.244946,-23.123216,12.822573,-1.278878
SW1250-Bx1,7.412161,13.893906,11.874421,-7.244945,-23.123216,12.822573,-1.278878
SW1250-Ax1,7.412161,13.893906,11.874421,-7.244946,-23.123216,12.822573,-1.278878
19281,7.412161,13.893906,11.874421,-7.244946,-23.123216,12.822573,-1.278878
19089,7.412161,13.893906,11.874421,-7.244946,-23.123216,12.822573,-1.278878
T62463130794,0.014539,-0.000727,0,0,0,0,0.00484633333333333
19165,7.397622,13.894634,11.874421,-7.244946,-23.123216,12.822573,-1.283724
19009,7.397622,13.894634,11.874421,-7.244946,-23.123216,12.822573,-1.283724
18754,7.397622,13.894634,11.874421,-7.244946,-23.123216,12.822573,-1.283724
18753,7.397622,13.894634,11.874421,-7.244946,-23.123216,12.822573,-1.283724
18752,0.302408,-0.012598,-0.021711,-0.036319,0,0,0.0935656666666667
T62463129146,0,0,-0.021711,-0.036319,0,0,-0.007237
19041,0.302408,-0.012598,0,0,0,0,0.100802666666667
19095,0.086501,-0.003699,0,0,0,0,0.0288336666666667
F8245,0.086501,-0.003699,0,0,0,0,0.0288336666666667
19103,0.086501,-0.003699,0,0,0,0,0.0288336666666667
T62463131250,0.014533,-0.000733,0,0,0,0,0.00484433333333333
19284,0.071969,-0.002966,0,0,0,0,0.0239896666666667
19297,0.071969,-0.002966,0,0,0,0,0.0239896666666667
19329,0.057436,-0.002233,0,0,0,0,0.0191453333333333
19340,0.057436,-0.002233,0,0,0,0,0.0191453333333333
19386,0.042903,-0.0015,0,0,0,0,0.014301
T62463133761,0.014533,-0.000733,0,0,0,0,0.00484433333333333
19341,0.02837,-0.000767,0,0,0,0,0.00945666666666667
19521,0.02837,-0.000767,0,0,0,0,0.00945666666666667
T62463134578,0.02837,-0.000767,0,0,0,0,0.00945666666666667
19316,0,0,0,0,0,0,0
57963,0,0,0,0,0,0,0
19387,0.014533,-0.000733,0,0,0,0,0.00484433333333333
T62463133818,0.014533,-0.000733,0,0,0,0,0.00484433333333333
19328,0.014533,-0.000733,0,0,0,0,0.00484433333333333
T62463132499,0.014533,-0.000733,0,0,0,0,0.00484433333333333
19094,0.014533,-0.000733,0,0,0,0,0.00484433333333333
T62463132037,0.014533,-0.000733,0,0,0,0,0.00484433333333333
19393,0,0,0,0,0,0,0
19048,0.201374,-0.008166,0,0,0,0,0.0671246666666667
F5007,0.201374,-0.008166,0,0,0,0,0.0671246666666667
19049,0.201374,-0.008166,0,0,0,0,0.0671246666666667
18949,0.186841,-0.007433,0,0,0,0,0.0622803333333333
T62463188832,0.02837,-0.000767,0,0,0,0,0.00945666666666667
18948,0.043599,-0.002199,0,0,0,0,0.014533
T62463189781,0.014533,-0.000733,0,0,0,0,0.00484433333333333
19136,0.029066,-0.001466,0,0,0,0,0.00968866666666667
T62463190598,0.014533,-0.000733,0,0,0,0,0.00484433333333333
19096,0.014533,-0.000733,0,0,0,0,0.00484433333333333
18558,0.014533,-0.000733,0,0,0,0,0.00484433333333333
T62463193504,0.014533,-0.000733,0,0,0,0,0.00484433333333333
18907,0.014533,-0.000733,0,0,0,0,0.00484433333333333
T62463187888,0.014533,-0.000733,0,0,0,0,0.00484433333333333
17950,0.10034,-0.003734,0,0,0,0,0.0334466666666667
18359,0.10034,-0.003734,0,0,0,0,0.0334466666666667
T62463186742,0.02837,-0.000767,0,0,0,0,0.00945666666666667
18330,0.057436,-0.002233,0,0,0,0,0.0191453333333333
18696,0.042903,-0.0015,0,0,0,0,0.014301
18695,0.042903,-0.0015,0,0,0,0,0.014301
T62463185453,0.028371,-0.000767,0,0,0,0,0.009457
18790,0.014533,-0.000733,0,0,0,0,0.00484433333333333
T62463186324,0.014533,-0.000733,0,0,0,0,0.00484433333333333
18329,0.014533,-0.000733,0,0,0,0,0.00484433333333333
T62463186577,0.014533,-0.000733,0,0,0,0,0.00484433333333333
18358,0.014533,-0.000733,0,0,0,0,0.00484433333333333
18893,0.014533,-0.000733,0,0,0,0,0.00484433333333333
18910,0.014533,-0.000733,0,0,0,0,0.00484433333333333
19027,0.014533,-0.000733,0,0,0,0,0.00484433333333333
