# file...... xout_weather.csv
# date...... Mon Jun 17 14:20:34 2019
# user...... austinchang
# host...... (null)
# target.... climate 903
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,temperature,wind_speed,humidity, solar_direct,solar_diffuse,solar_global
2018-01-05 19:00:00 EST,+18.5,+0.43,+0.92,+0,+0,+0
2018-01-05 20:00:00 EST,+20.1,+0.55,+0.93,+0,+0,+0
2018-01-05 21:00:00 EST,+19.9,+0.52,+0.93,+0,+0,+0
2018-01-05 22:00:00 EST,+20.3,+0.7,+0.93,+1,+0,+1
2018-01-05 23:00:00 EST,+20.8,+0.67,+0.93,+0,+0,+0
2018-01-06 00:00:00 EST,+20.8,+0.52,+0.93,+0,+0,+0
2018-01-06 01:00:00 EST,+19.9,+0.53,+0.93,+0,+0,+0
2018-01-06 02:00:00 EST,+19,+0.61,+0.93,+0,+0,+0
2018-01-06 03:00:00 EST,+17.8,+0.9,+0.92,+0,+0,+0
2018-01-06 04:00:00 EST,+17.8,+0.64,+0.91,+0,+0,+0
2018-01-06 05:00:00 EST,+16.2,+0.43,+0.91,+0,+0,+0
2018-01-06 06:00:00 EST,+12.6,+0.39,+0.89,+0,+0,+0
2018-01-06 07:00:00 EST,+12.7,+0.5,+0.89,+0,+0,+0
2018-01-06 08:00:00 EST,+18.1,+0.62,+0.91,+0,+0,+0
2018-01-06 09:00:00 EST,+18.1,+0.71,+0.91,+0,+0,+0
2018-01-06 10:00:00 EST,+19.2,+0.57,+0.92,+0,+0,+0
2018-01-06 11:00:00 EST,+20.1,+0.46,+0.92,+0,+0,+0
2018-01-06 12:00:00 EST,+21,+0.42,+0.92,+0,+0,+0
2018-01-06 13:00:00 EST,+20.1,+0.35,+0.92,+0,+0,+0
2018-01-06 14:00:00 EST,+20.5,+0.35,+0.92,+0,+0,+0
2018-01-06 15:00:00 EST,+21,+0.28,+0.93,+0,+0,+0
2018-01-06 16:00:00 EST,+21.2,+0.64,+0.93,+0,+0,+0
2018-01-06 17:00:00 EST,+21.6,+0.7,+0.92,+0,+0,+0
2018-01-06 18:00:00 EST,+21.9,+0.61,+0.92,+0,+0,+0
2018-01-06 19:00:00 EST,+22.5,+0.68,+0.91,+0,+0,+0
2018-01-06 20:00:00 EST,+22.5,+0.66,+0.9,+0,+0,+0
2018-01-06 21:00:00 EST,+23,+0.84,+0.89,+0,+0,+0
2018-01-06 22:00:00 EST,+23.7,+0.73,+0.89,+1,+0,+1
2018-01-06 23:00:00 EST,+23.7,+0.84,+0.87,+1,+0,+1
2018-01-07 00:00:00 EST,+23,+0.52,+0.88,+0,+0,+0
2018-01-07 01:00:00 EST,+22.8,+0.92,+0.87,+0,+0,+0
2018-01-07 02:00:00 EST,+22.3,+0.49,+0.88,+0,+0,+0
2018-01-07 03:00:00 EST,+21.9,+0.5,+0.89,+0,+0,+0
2018-01-07 04:00:00 EST,+21.9,+0.67,+0.88,+0,+0,+0
2018-01-07 05:00:00 EST,+21.7,+0.98,+0.85,+0,+0,+0
2018-01-07 06:00:00 EST,+20.5,+0.71,+0.87,+0,+0,+0
2018-01-07 07:00:00 EST,+20.3,+0.13,+0.89,+0,+0,+0
2018-01-07 08:00:00 EST,+18.5,+0.2,+0.91,+0,+0,+0
2018-01-07 09:00:00 EST,+15.6,+0.24,+0.92,+0,+0,+0
2018-01-07 10:00:00 EST,+15.4,+0.33,+0.92,+0,+0,+0
2018-01-07 11:00:00 EST,+13.6,+0.21,+0.91,+0,+0,+0
2018-01-07 12:00:00 EST,+12.6,+0.12,+0.9,+0,+0,+0
2018-01-07 13:00:00 EST,+13.1,+0.09,+0.9,+0,+0,+0
2018-01-07 14:00:00 EST,+10.9,+0.41,+0.9,+0,+0,+0
2018-01-07 15:00:00 EST,+9.7,+0.17,+0.89,+0,+0,+0
2018-01-07 16:00:00 EST,+8.8,+0.15,+0.88,+0,+0,+0
2018-01-07 17:00:00 EST,+9,+0.05,+0.88,+0,+0,+0
2018-01-07 18:00:00 EST,+8.2,+0,+0.88,+0,+0,+0
2018-01-07 19:00:00 EST,+7.7,+0.09,+0.88,+0,+0,+0
2018-01-07 20:00:00 EST,+8.4,+0,+0.88,+0,+0,+0
2018-01-07 21:00:00 EST,+10.8,+0,+0.88,+0,+0,+1
2018-01-07 22:00:00 EST,+12.9,+0.04,+0.89,+1,+0,+1
2018-01-07 23:00:00 EST,+13.3,+0.14,+0.9,+0,+0,+1
2018-01-08 00:00:00 EST,+10.6,+0.15,+0.91,+0,+0,+0
2018-01-08 01:00:00 EST,+8.4,+0.14,+0.89,+0,+0,+0
2018-01-08 02:00:00 EST,+6.8,+0,+0.88,+0,+0,+0
2018-01-08 03:00:00 EST,+5.2,+0.17,+0.87,+0,+0,+0
2018-01-08 04:00:00 EST,+4.3,+0.1,+0.86,+0,+0,+0
2018-01-08 05:00:00 EST,+2.7,+0.09,+0.86,+0,+0,+0
2018-01-08 06:00:00 EST,+2.7,+0.03,+0.85,+0,+0,+0
2018-01-08 07:00:00 EST,+1.9,+0.06,+0.85,+0,+0,+0
2018-01-08 08:00:00 EST,+1.8,+0.07,+0.84,+0,+0,+0
2018-01-08 09:00:00 EST,+0.9,+0.07,+0.84,+0,+0,+0
2018-01-08 10:00:00 EST,+0.5,+0.32,+0.84,+0,+0,+0
2018-01-08 11:00:00 EST,-0,+0.2,+0.84,+0,+0,+0
2018-01-08 12:00:00 EST,-1.3,+0.09,+0.84,+0,+0,+0
2018-01-08 13:00:00 EST,-1.1,+0.29,+0.84,+0,+0,+0
2018-01-08 14:00:00 EST,-1.1,+0.11,+0.83,+0,+0,+0
2018-01-08 15:00:00 EST,-2,+0.13,+0.83,+0,+0,+0
2018-01-08 16:00:00 EST,-2.4,+0.07,+0.83,+0,+0,+0
2018-01-08 17:00:00 EST,-2.6,+0.22,+0.82,+0,+0,+0
2018-01-08 18:00:00 EST,-2.7,+0.08,+0.82,+0,+0,+0
2018-01-08 19:00:00 EST,-2.6,+0.12,+0.82,+0,+0,+0
2018-01-08 20:00:00 EST,+1,+0.04,+0.83,+0,+0,+0
2018-01-08 21:00:00 EST,+4.6,+0.19,+0.85,+1,+0,+1
2018-01-08 22:00:00 EST,+9.9,+0.26,+0.88,+1,+0,+1
2018-01-08 23:00:00 EST,+11.7,+0.38,+0.88,+0,+0,+0
2018-01-09 00:00:00 EST,+11.7,+0.01,+0.88,+0,+0,+0
2018-01-09 01:00:00 EST,+11.3,+0.2,+0.88,+0,+0,+0
2018-01-09 02:00:00 EST,+11.5,+0.29,+0.88,+0,+0,+0
2018-01-09 03:00:00 EST,+9.1,+0.31,+0.88,+0,+0,+0
2018-01-09 04:00:00 EST,+5.9,+0.28,+0.86,+0,+0,+0
