HH.VEH.ID,VEHTYPE,URBUR,ARRHOME,DUR.HOME,DEPHOME,HHVEHMILES,ARRWORK,DUR.WORK,DEPWORK
1.048221e+07,2,1,2120,900,620,1.250000e+01,715,900,1615
1.048264e+07,3,2,1630,1405,635,22,658,9.070000e+02,1605
1.048423e+07,1,1,1920,1810,1330,21,850,1010,1900
1.048423e+07,1,1,1515,1545,700,10,710,750,1500
1.048526e+07,2,1,1850,1225,715,24,745,650,1435
1.048526e+07,4,1,1532,1458,630,24,655,8.100000e+02,1505
1.048641e+07,1,1,1915,1045,600,30,645,1115,1800
1.048685e+07,3,2,1115,2300,1015,18,1045,845,1930
1.048913e+07,1,1,1645,1500,745,10,800,830,1630
1.049212e+07,1,1,1830,1530,1000,10,1030,730,1800
1.049373e+07,1,2,1805,1125,530,20,550,8.100000e+02,1400
1.049525e+07,1,1,1830,1215,645,28,715,1045,1800
1.049643e+07,1,1,1826,1138,604,28,640,930,1610
1.049694e+07,1,1,1935,1325,900,54,1000,830,1830
1.049836e+07,3,2,1600,1400,600,35,635,8.400000e+02,1515
1.049903e+07,3,1,2315,1015,930,29,1530,715,2245
1.049955e+07,3,1,1755,1342,737,20,800,9.100000e+02,1710
1.049983e+07,1,1,2353,1552,1545,17,1600,738,2338
1.050288e+07,1,2,230,1000,1230,34,1650,9.050000e+02,155
1.050293e+07,1,1,2340,1.460000e+03,1440,14,1455,8.300000e+02,2325
1.050386e+07,1,1,1745,1345,730,46,830,8.350000e+02,1705
1.050420e+07,1,1,1715,1400,715,18,735,9.100000e+02,1645
1.050437e+07,1,1,1730,1400,730,16,800,900,1700
1.050469e+07,1,1,1750,1240,630,13,645,1045,1730
1.050767e+07,1,1,1605,1425,630,14,700,845,1545
1.050972e+07,3,1,1755,1305,700,24,725,1.005000e+03,1730
1.050990e+07,4,1,1615,1430,645,14,700,900,1600
1.050996e+07,3,1,1735,1425,800,24,825,840,1705
1.051207e+07,4,2,1810,1230,640,26,710,1.020000e+03,1730
1.051308e+07,1,1,2115,1015,730,14,755,9.050000e+02,1700
1.051387e+07,3,1,1830,1330,800,11,830,930,1800
1.051484e+07,1,1,2055,1000,655,34,725,845,1610
1.051705e+07,1,1,2015,945,600,22,635,9.550000e+02,1630
1.051898e+07,1,1,1650,1710,1000,16,1020,610,1630
1.052012e+07,1,1,1730,1500,830,14,850,810,1700
1.052106e+07,4,1,1430,1400,430,18,520,815,1335
1.052354e+07,4,1,1533,1457,630,22,655,8.050000e+02,1500
1.052606e+07,2,1,2115,1515,1230,46,830,930,1800
1.052934e+07,2,1,1620,1440,700,10,725,735,1500
1.053151e+07,1,1,1630,1500,730,21,800,800,1600
1.053287e+07,1,1,1945,930,515,30,545,1315,1900
1.053770e+07,1,2,1730,1415,745,30,820,840,1700
1.053790e+07,4,1,1825,1205,630,20,650,9.350000e+02,1625
1.054053e+07,2,1,1510,1420,530,21,610,8.350000e+02,1445
1.054492e+07,1,1,1840,1320,800,42,850,855,1745
1.054524e+07,1,1,1709,2251,1600,54,725,8.350000e+02,1600
1.054594e+07,1,1,1705,1455,800,2.250000e+01,835,725,1600
1.054641e+07,3,1,2208,1052,900,33,935,755,1730
1.054710e+07,1,1,2205,2.045000e+03,1850,198,605,602,1207
1.054714e+07,1,1,1620,1525,745,20,920,640,1600
1.054814e+07,3,2,1730,1300,630,38,730,900,1630
1.054896e+07,1,1,2010,1540,1150,2.050000e+01,1210,620,1830
1.054898e+07,3,1,1655,1535,830,46,925,635,1600
1.054914e+07,1,1,1715,1447,802,16,820,8.380000e+02,1658
1.055230e+07,1,1,1832,1258,730,60,900,800,1700
1.055346e+07,1,1,1810,1335,745,70,850,810,1700
1.055380e+07,4,2,1710,1150,500,42,725,8.400000e+02,1605
1.055395e+07,4,2,1820,1202,622,24,658,1037,1735
1.055404e+07,2,1,1630,1600,830,14,850,720,1610
1.055560e+07,1,1,2020,8.400000e+02,500,42,550,1.220000e+03,1810
1.055603e+07,4,2,1600,1430,630,14,650,8.500000e+02,1540
1.055603e+07,1,2,1818,2333,1751,22,840,850,1730
1.055610e+07,2,1,1950,1155,745,20,810,850,1700
1.055627e+07,1,1,2057,1233,930,5.150000e+01,1147,820,2007
1.055660e+07,2,1,1900,1430,930,30,1000,830,1830
1.055856e+07,3,2,1645,1440,725,24,800,815,1615
1.055937e+07,4,1,1750,1.305000e+03,655,10,708,1027,1735
1.055972e+07,2,2,2015,915,530,32,655,8.050000e+02,1500
1.055972e+07,2,2,2015,915,530,32,600,940,1540
1.056142e+07,1,1,1806,1324,730,2.866667e+01,813,902,1715
1.056228e+07,1,1,1800,1335,735,22,755,945,1740
1.056331e+07,1,2,1535,1505,640,16,655,8.250000e+02,1520
1.056376e+07,1,1,1730,1500,830,48,915,7.250000e+02,1640
1.056422e+07,3,1,1625,1350,615,44,700,830,1530
1.056531e+07,3,2,1745,1325,710,29,740,9.350000e+02,1715
1.056578e+07,4,1,2220,8.250000e+02,645,48,730,815,1545
1.056578e+07,1,1,2115,8.050000e+02,520,36,603,1027,1630
1.056699e+07,1,2,1630,1500,730,10,745,8.200000e+02,1605
1.056885e+07,3,1,1615,1405,620,29,655,8.200000e+02,1515
1.057184e+07,1,1,1710,1120,430,14,445,1200,1645
1.057243e+07,1,1,1830,1300,730,16,800,1000,1800
1.057307e+07,1,1,1930,1045,615,10,640,9.200000e+02,1600
1.057329e+07,4,1,1920,1.010000e+03,530,3.250000e+01,610,1120,1730
1.057352e+07,1,1,2000,1030,630,20,725,1105,1830
1.057372e+07,2,1,2000,1125,725,12,740,9.100000e+02,1650
1.057475e+07,1,1,1722,1353,715,16,745,915,1700
1.057658e+07,1,1,1710,1405,715,1.050000e+01,745,900,1645
1.057686e+07,1,2,1825,1335,800,16,816,6.070000e+02,1423
